record_type,selection_label,family_or_target,vocabulary_entry,mapping_condition,axis1_presence_scope,axis1_studies,axis1_rows,axis2_presence_scope,axis2_studies,axis2_rows,disposition_or_rationale
selected_family,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,tet,tet,"normalized target starts with tet OR normalized ARG class contains tetracycline",main influent-to-final-effluent route,11,18,final-effluent liquid abundance,14,66,Included named priority family
selected_family,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,sul,sul,"normalized target starts with sul OR normalized ARG class contains sulfonamide",main influent-to-final-effluent route,10,16,final-effluent liquid abundance,20,61,Included named priority family
selected_family,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,bla,bla,"normalized target starts with bla OR normalized ARG class contains beta-lactam or carbapenem",main influent-to-final-effluent route,13,22,final-effluent liquid abundance,19,50,Included named priority family
selected_family,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,intI1,intI1,"target/name/class matches intI1 spelling or class-1-integron pattern",main influent-to-final-effluent route,7,8,final-effluent liquid abundance,17,42,Included named priority family and MGE/integron marker
selected_family,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,erm,erm,"normalized target starts with erm OR normalized ARG class contains macrolide or lincosamide",main influent-to-final-effluent route,8,11,final-effluent liquid abundance,7,12,Included named priority family
selected_family,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,qnr,qnr,"normalized target starts with qnr OR normalized ARG class contains quinolone",main influent-to-final-effluent route,2,2,final-effluent liquid abundance,9,22,Included named priority family
exclusion,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,other,other,deterministic fallback when no named-family condition matches,not selected,,,not selected,,,Excluded because residual aggregate is not a named gene family
efflux_disposition,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,mexF,other,multidrug-resistance class does not match a named-family condition,percent-removal frozen cohort,1,1,final-effluent liquid abundance,3,5,Survived frozen cohorts but maps to residual other
efflux_disposition,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,acrB,other,multidrug-resistance class does not match a named-family condition,no frozen cohort presence,0,0,no frozen cohort presence,0,0,Extracted/normalized but no exact target survived frozen cohorts
efflux_disposition,PRE-SPECIFIED RELATIVE TO COHORT FREEZING,macB,erm,macrolide-resistance class matches the erm-family class condition,no main-route A1 display,0,0,final-effluent liquid abundance,1,1,Survived frozen cohorts and deterministically maps to erm
